CategoryId,Category1,Category2,Category3
136,mom & baby,Baby Toys,Baby Skin Concerns
137,mom & baby,Gift Sets,Scalp Treatment
138,mom & baby,Gift Sets,Coconut Oil
139,mom & baby,Gift Sets,Baby Skin Concerns
140,mom & baby,Shop by Concerns,Cracked Nipple Cream
141,mom & baby,Shop by Concerns,Heat Rash
142,mom & baby,Shop by Concerns,Baby Dry Skin
143,mom & baby,Shop by Concerns,Almond Oil
144,mom & baby,Shop by Concerns,Coconut Oil
145,mom & baby,Shop by Concerns,Body Toning & Firming
146,mom & baby,Shop by Concerns,Baby Skin Concerns
147,Health & Wellness,Health Supplements,Multivitamins
148,Health & Wellness,Health Supplements,Calcium & Vitamin D
149,Health & Wellness,Health Supplements,Magnesium & Zinc
150,Health & Wellness,Health Supplements,Immunity Boosters & Vitamin C
151,Health & Wellness,Beauty Supplements,Collagen
152,Health & Wellness,Beauty Supplements,Biotin
153,Health & Wellness,Beauty Supplements,Vitamin E
154,Health & Wellness,Beauty Supplements,Glutathione
155,Health & Wellness,Beauty Supplements,Other Beauty Supplements
156,Health & Wellness,Sports Nutrition,Whey Protein
157,Health & Wellness,Sports Nutrition,Plant Protein
158,Health & Wellness,Sports Nutrition,BCAA & Other Muscle Support
159,Health & Wellness,Sports Nutrition,Protein & Energy Bars
160,Health & Wellness,Sports Nutrition,Protein Snacks
161,Health & Wellness,Weight Management,Weight Gain
162,Health & Wellness,Weight Management,Green Tea - Beverage
163,Health & Wellness,Weight Management,Fat Burner
164,Health & Wellness,Weight Management,Apple Cider Vinegar (Weight Loss)
165,Health & Wellness,Weight Management,Green Coffee - Beverage
167,Health & Wellness,Weight Management,Slimming Shakes & Juices
168,Health & Wellness,Wellness Equipment,Weighing Scales
169,Health & Wellness,Wellness Equipment,Fitness
170,Health & Wellness,Health Foods,Breakfast Cereals
171,Health & Wellness,Health Foods,Other Health Foods
172,Health & Wellness,Pain Relief,Muscular & Ortho
173,Health & Wellness,Health & Wellness Kits & Combos,Health & Wellness Combos
174,Health & Wellness,Pain Relief,Other Pain
175,Health & Wellness,Health & Wellness Kits & Combos,Health & Wellness Kits
176,Health & Wellness,Pain Relief,Period Cramps
